provinsi,kab_kota,url
Prov. Banten,Kab. Pandeglang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/280100
Prov. Banten,Kab. Lebak,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/280200
Prov. Banten,Kab. Serang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/280400
Prov. Banten,Kota Tangerang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/286100
Prov. Banten,Kota Tangerang Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/286300
Prov. Banten,Kota Serang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/286200
Prov. Banten,Kota Cilegon,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/286000
Prov. Lampung,Kab. Lampung Tengah,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120200
Prov. Lampung,Kab. Lampung Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120700
Prov. Lampung,Kab. Lampung Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120100
Prov. Lampung,Kab. Lampung Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120300
Prov. Lampung,Kab. Tanggamus,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120600
Prov. Lampung,Kota Bandar Lampung,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/126000
Prov. Lampung,Kab. Way Kanan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120800
Prov. Lampung,Kab. Pesawaran,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120900
Prov. Lampung,Kab. Pringsewu,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/121000
Prov. Lampung,Kab. Tulang Bawang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120500
Prov. Lampung,Kab. Lampung Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/120400
Prov. Lampung,Kab. Tulang Bawang Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/121200
Prov. Lampung,Kab. Mesuji,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/121100
Prov. Lampung,Kab. Pesisir Barat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/121300
Prov. Lampung,Kota Metro,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/126100
Prov. Sumatera Selatan,Kota Palembang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/116000
Prov. Sumatera Selatan,Kab. Musi Banyuasin,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110100
Prov. Sumatera Selatan,Kab. Banyuasin,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110700
Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110200
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Timur,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110800
Prov. Sumatera Selatan,Kab. Muara Enim,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110400
Prov. Sumatera Selatan,Kab. Lahat,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110500
Prov. Sumatera Selatan,Kab. Musi Rawas,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110600
Prov. Sumatera Selatan,Kab. Ogan Ilir,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/111000
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110900
Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/110300
Prov. Sumatera Selatan,Kab. Empat Lawang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/111100
Prov. Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/111200
Prov. Sumatera Selatan,Kota Lubuk Linggau,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/116200
Prov. Sumatera Selatan,Kab. Musi Rawas Utara,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/111300
Prov. Sumatera Selatan,Kota Prabumulih,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/116100
Prov. Sumatera Selatan,Kota Pagar Alam,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/116300
Prov. Kalimantan Barat,Kab. Ketapang,http://dapo.dikdasmen.kemdikbud.go.id/sp/2/130600
